World | 58000000
China | 10400000
India | 9820000
USA | 2700000
Nigeria | 2330000
Russia | 1940000
Indonesia | 1890000
Pakistan | 1420000
Japan | 1360000
Brazil | 1310000
Germany | 927269
Bangladesh | 867114
Democratic Republic of the Congo | 790376
Ethiopia | 702087
Philippines | 686410
Ukraine | 655847
Mexico | 629876
Italy | 627332
UK | 595364
France | 584370
Egypt | 570461
Vietnam | 557243
Thailand | 551577
South Africa | 543150
Turkey | 469224
Myanmar | 436793
Spain | 421105
Poland | 396830
Tanzania | 373170
Uganda | 367054
Iran | 364212
Argentina | 334557
S. Korea | 305110
Sudan | 298930
Colombia | 298123
Mozambique | 292155
Ivory Coast | 290241
Kenya | 282414
Canada | 274858
Romania | 253879
Angola | 250672
Cameroon | 236235
Afghanistan | 233626
Ghana | 230349
North Korea | 228217
Niger | 204887
Algeria | 196124
Chad | 189885
Iraq | 189317
Uzbekistan | 186752
Mali | 185886
Nepal | 182917
Morocco | 182792
Peru | 181879
Venezuela | 180631
Yemen | 180126
Taiwan | 173663
Somalia | 164352
Australia | 163380
Burkina Faso | 160690
Kazakhstan | 159354
Madagascar | 158685
Malaysia | 157896
Netherlands | 147201
Sri Lanka | 145866
South Sudan | 135122
Malawi | 133154
Zambia | 130693
Zimbabwe | 130237
Belarus | 126136
Hungary | 125142
Greece | 120675
Saudi Arabia | 117423
Burundi | 115050
Guinea | 114187
Czechia | 112713
Belgium | 111751
Serbia | 111654
Portugal | 111420
Chile | 111230
Bulgaria | 107886
Syrian Arab Republic | 102108
Benin | 101107
Cambodia | 96111
Sierra Leone | 94806
Haiti | 93816
Cuba | 92974
Senegal | 91282
Sweden | 90224
Ecuador | 85083
Austria | 83898
Guatemala | 81424
Bolivia | 80211
Tunisia | 72852
Rwanda | 71452
Switzerland | 67929
Azerbaijan | 67605
Togo | 66965
Dominican Republic | 65926
Central African Republic | 61705
Papua New Guinea | 58560
Denmark | 54459
Slovakia | 54420
Finland | 54009
Croatia | 53642
Georgia | 51883
Hong Kong | 50333
Moldova | 46739
Tajikistan | 45738
Laos | 45215
Israel | 44529
Honduras | 44528
El Salvador | 43121
Norway | 41761
Lithuania | 41161
Turkmenistan | 40571
Bosnia | 39424
Paraguay | 39341
Kyrgyzstan | 37841
Congo | 37727
Jordan | 36563
Liberia | 36406
Mauritania | 34526
Eritrea | 33819
Libyan Arab Jamahiriya | 33453
New Zealand | 32616
Uruguay | 32417
Ireland | 31280
Nicaragua | 29839
Puerto Rico | 29288
Latvia | 29232
Singapore | 28925
Armenia | 28303
Lesotho | 27939
Lebanon | 27364
Costa Rica | 24519
Albania | 22114
Panama | 20646
Macedonia | 20533
Jamaica | 20332
Slovenia | 20296
Mongolia | 19457
Guinea-Bissau | 19177
Namibia | 17951
Gambia | 16695
Estonia | 15758
UAE | 15507
Gabon | 15011
West Bank | 14740
Botswana | 14693
Trinidad and Tobago | 13320
Swaziland | 12850
Equatorial Guinea | 12731
Kuwait | 11406
Oman | 11396
Mauritius | 10294
Cyprus | 8208
Djibouti | 7989
Timor-Leste | 7026
Fiji | 6515
Guyana | 6414
Montenegro | 6249
Comoros | 5946
Gaza Strip | 5642
R̩union | 5153
Bhutan | 4848
Luxembourg | 4214
Suriname | 4154
Qatar | 4069
Malta | 3833
Guadeloupe | 3638
Bahrain | 3592
Martinique | 3306
Barbados | 3093
Cabo Verde | 2977
Solomon Islands | 2876
Western Sahara | 2727
Bahamas | 2545
Macau | 2400
Iceland | 2187
Belize | 2032
New Caledonia | 1883
French Polynesia | 1562
Brunei | 1558
Maldives | 1431
Curacao | 1401
Sao Tome and Principe | 1347
Saint Lucia | 1347
Vanuatu | 1319
Samoa | 976
Aruba | 936
United States Virgin Islands | 892
French Guiana | 861
Jersey | 857
Guam | 845
Isle of Man | 840
Kiribati | 811
Saint Vincent and the Grenadines | 799
Seychelles | 783
Grenada | 766
Guernsey | 663
Micronesia | 658
Tonga | 646
Mayotte | 621
Antigua and Barbuda | 591
Dominica | 563
Bermuda | 514
Andorra | 492
Greenland | 465
Monaco | 423
Faroe Islands | 422
Saint Kitts and Nevis | 398
Marshall Islands | 265
Gibraltar | 265
Liechtenstein | 259
San Marino | 256
Cayman Islands | 224
Northern Mariana Islands | 200
American Samoa | 186
Palau | 136
Sint Maarten | 127
Turks and Caicos Islands | 104
British Virgin Islands | 99
Tuvalu | 73
Nauru | 66
Anguilla | 55
Saint Helena, Ascension and Tristan da Cunha | 50
Saint Pierre and Miquelon | 48
Montserrat | 40
